Accession,Release_Date,Pangolin,PangoVersions,Random_Sampling,Isolate,Species,Length,Nuc_Completeness,Genotype,Geo_Location,USA,Host,Isolation_Source,Collection_Date
ON891339,2022-06-30,B.1.2,4.3.1/1.23.1/v0.1.12/0.3.19,,TX-HHD-580128,Severe acute respiratory syndrome-related coronavirus,29903,complete,,"USA: Texas, Houston",TX,Homo sapiens,,2020-11-24
OM933281,2022-03-07,BA.1.1,4.3.1/1.23.1/v0.1.12/0.3.19,true,NC-CDC-QDX34117194,Severe acute respiratory syndrome-related coronavirus,29747,complete,,USA: North Carolina,NC,Homo sapiens,oronasopharynx,2022-02-20
OK547694,2021-10-18,B.1.561,4.3.1/1.23.1/v0.1.12/0.3.19,true,SEARCH-100977,Severe acute respiratory syndrome-related coronavirus,29598,complete,,"USA: California,San Diego",CA,Homo sapiens,oronasopharynx,2020-12-11
OM968284,2022-03-11,BA.1.1,4.3.1/1.23.1/v0.1.12/0.3.19,true,NC-CDC-MMB14445717,Severe acute respiratory syndrome-related coronavirus,29770,complete,,USA: North Carolina,NC,Homo sapiens,oronasopharynx,2022-02-18
OQ347386,2023-01-30,BQ.1,4.3.1/1.23.1/v0.1.12/0.3.19,true,FL-CDC-QDX45530315,Severe acute respiratory syndrome-related coronavirus,29718,complete,,USA: Florida,FL,Homo sapiens,oronasopharynx,2023-01-11
OK246389,2021-09-22,B.1.526,4.3.1/1.23.1/v0.1.12/0.3.19,,VSP2580,Severe acute respiratory syndrome-related coronavirus,29893,complete,,USA: Pennsylvania,PA,Homo sapiens,,2021-05-04
OM363809,2022-01-24,BA.1.1,4.3.1/1.23.1/v0.1.12/0.3.19,true,WA-S16367,Severe acute respiratory syndrome-related coronavirus,29785,complete,,"USA: Washington,Pierce County",WA,Homo sapiens,,2022-01-02
ON638884,2022-05-31,BA.2,4.3.1/1.23.1/v0.1.12/0.3.19,true,MN-MDH-25248,Severe acute respiratory syndrome-related coronavirus,29715,complete,,USA: Minnesota,MN,Homo sapiens,"saliva, oronasopharynx",2022-05-11
OP495034,2022-09-22,BF.27,4.3.1/1.23.1/v0.1.12/0.3.19,true,CA-CDPH-500070345,Severe acute respiratory syndrome-related coronavirus,29726,complete,,USA,,Homo sapiens,,2022-07-18
ON587789,2022-05-24,BA.2.12.1,4.3.1/1.23.1/v0.1.12/0.3.19,true,FL-CDC-LC0624982,Severe acute respiratory syndrome-related coronavirus,29693,complete,,USA: Florida,FL,Homo sapiens,oronasopharynx,2022-05-06
ON258804,2022-04-18,BA.2,4.3.1/1.23.1/v0.1.12/0.3.19,,1014930412_4-14-22,Severe acute respiratory syndrome-related coronavirus,29729,complete,,USA: AR,AR,Homo sapiens,oronasopharynx,2022-04-04
ON917540,2022-07-05,BA.2,4.3.1/1.23.1/v0.1.12/0.3.19,true,OH-CDC-LC0731789,Severe acute respiratory syndrome-related coronavirus,29736,complete,,USA: Ohio,OH,Homo sapiens,oronasopharynx,2022-06-21
OP671837,2022-10-18,BA.5.1,4.3.1/1.23.1/v0.1.12/0.3.19,true,CA-CDC-LC0910027,Severe acute respiratory syndrome-related coronavirus,29720,complete,,USA: California,CA,Homo sapiens,oronasopharynx,2022-10-07
OM865709,2022-03-01,BA.1.1,4.3.1/1.23.1/v0.1.12/0.3.19,true,LA-CDC-2-5570814,Severe acute respiratory syndrome-related coronavirus,29789,complete,,USA: LA,LA,Homo sapiens,,2022-01-26
OP326850,2022-08-30,BA.2.12.1,4.3.1/1.23.1/v0.1.12/0.3.19,true,VA-VTVAS3-GSC36543,Severe acute respiratory syndrome-related coronavirus,29729,complete,,USA: Virginia,VA,Homo sapiens,,2022-06-07
MW968704,2021-04-20,B.1.526,4.3.1/1.23.1/v0.1.12/0.3.19,true,NY-CDC-ASC210021222,Severe acute respiratory syndrome-related coronavirus,29891,complete,,USA: New York,NY,Homo sapiens,,2021-03-25
OP772498,2022-11-03,BA.5.2,4.3.1/1.23.1/v0.1.12/0.3.19,true,NJ-CDC-QDX42511742,Severe acute respiratory syndrome-related coronavirus,29718,complete,,USA: New Jersey,NJ,Homo sapiens,oronasopharynx,2022-10-15
OR073368,2023-05-31,BA.2.12.1,4.3.1/1.23.1/v0.1.12/0.3.19,true,LWGP838608,Severe acute respiratory syndrome-related coronavirus,29775,complete,,USA: VA,VA,Homo sapiens,,2022-06
MZ321209,2021-06-01,B.1.637,4.3.1/1.23.1/v0.1.12/0.3.19,true,NH-CDC-QDX24941252,Severe acute respiratory syndrome-related coronavirus,29769,complete,,USA: New Hampshire,NH,Homo sapiens,oronasopharynx,2021-05-11
OL833698,2021-12-14,AY.103,4.3.1/1.23.1/v0.1.12/0.3.19,true,MA-CDC-LC0399969,Severe acute respiratory syndrome-related coronavirus,29792,complete,,USA: Massachusetts,MA,Homo sapiens,oronasopharynx,2021-11-19
ON588447,2022-05-24,BA.2.12.1,4.3.1/1.23.1/v0.1.12/0.3.19,true,DE-CDC-LC0628044,Severe acute respiratory syndrome-related coronavirus,29727,complete,,USA: Delaware,DE,Homo sapiens,oronasopharynx,2022-05-07
ON772793,2022-06-15,BA.2.12.1,4.3.1/1.23.1/v0.1.12/0.3.19,true,SC-CDC-LC0683662,Severe acute respiratory syndrome-related coronavirus,29694,complete,,USA: South Carolina,SC,Homo sapiens,oronasopharynx,2022-06-03
OL894911,2021-12-17,AY.14,4.3.1/1.23.1/v0.1.12/0.3.19,,CO-CDPHE-2102066640,Severe acute respiratory syndrome-related coronavirus,29764,complete,,USA,,Homo sapiens,,2021-10-13
OP062583,2022-07-26,BA.2.12.1,4.3.1/1.23.1/v0.1.12/0.3.19,true,NY-CDC-LC0774286,Severe acute respiratory syndrome-related coronavirus,29630,complete,,USA: New York,NY,Homo sapiens,oronasopharynx,2022-07-05
OM087659,2022-01-01,AY.44,4.3.1/1.23.1/v0.1.12/0.3.19,true,CA-CDC-FG-206718,Severe acute respiratory syndrome-related coronavirus,29812,complete,,USA: California,CA,Homo sapiens,oronasopharynx,2021-12-21
ON679817,2022-06-06,BA.2.12.1,4.3.1/1.23.1/v0.1.12/0.3.19,true,OR-CDC-QDX37144476,Severe acute respiratory syndrome-related coronavirus,29724,complete,,USA: Oregon,OR,Homo sapiens,oronasopharynx,2022-05-14
OM015960,2021-12-25,BA.1.1,4.3.1/1.23.1/v0.1.12/0.3.19,true,FL-CDC-ASC210534079,Severe acute respiratory syndrome-related coronavirus,29792,complete,,USA: Florida,FL,Homo sapiens,,2021-12-12
OL859995,2021-12-15,AY.103,4.3.1/1.23.1/v0.1.12/0.3.19,true,MN-CDC-ASC210488224,Severe acute respiratory syndrome-related coronavirus,29811,complete,,USA: Minnesota,MN,Homo sapiens,,2021-11-19
